   1.0000000e+00   7.2154710e-01
   9.9901336e-01   6.8759423e-01
   9.9605735e-01   5.7420641e-01
   9.9114363e-01   4.9131916e-01
   9.8429158e-01   4.2389932e-01
   9.7552826e-01   3.6418862e-01
   9.6488824e-01   3.0960654e-01
   9.5241353e-01   2.5880507e-01
   9.3815334e-01   2.1091699e-01
   9.2216396e-01   1.6533874e-01
   9.0450850e-01   1.2162324e-01
   8.8525662e-01   7.9415888e-02
   8.6448431e-01   3.8414955e-02
   8.4227355e-01  -1.6529731e-03
   8.1871199e-01  -4.1047769e-02
   7.9389263e-01  -8.0023768e-02
   7.6791340e-01  -1.1883285e-01
   7.4087684e-01  -1.5772382e-01
   7.1288965e-01  -1.9693877e-01
   6.8406228e-01  -2.3670718e-01
   6.5450850e-01  -2.7723801e-01
   6.2434494e-01  -3.1871008e-01
   5.9369066e-01  -3.6126104e-01
   5.6266662e-01  -4.0497491e-01
   5.3139526e-01  -4.4986841e-01
   5.0000000e-01  -4.9587614e-01
   4.6860474e-01  -5.4283469e-01
   4.3733338e-01  -5.9046598e-01
   4.0630934e-01  -6.3836027e-01
   3.7565506e-01  -6.8595898e-01
   3.4549150e-01  -7.3253824e-01
   3.1593772e-01  -7.7719328e-01
   2.8711035e-01  -8.1882410e-01
   2.5912316e-01  -8.5612186e-01
   2.3208660e-01  -8.8755480e-01
   2.0610737e-01  -9.1135060e-01
   1.8128801e-01  -9.2547055e-01
   1.5772645e-01  -9.2756870e-01
   1.3551569e-01  -9.1492817e-01
   1.1474338e-01  -8.8436847e-01
   9.5491503e-02  -8.3212712e-01
   7.7836037e-02  -7.5374473e-01
   6.1846660e-02  -6.4404429e-01
   4.7586474e-02  -4.9742235e-01
   3.5111757e-02  -3.0889690e-01
   2.4471742e-02  -7.6649750e-02
   1.5708419e-02   1.9316292e-01
   8.8563746e-03   4.7976812e-01
   3.9426493e-03   7.4344972e-01
   9.8663579e-04   9.3184396e-01
   0.0000000e+00   1.0000000e+00
   9.8663579e-04   9.3184396e-01
   3.9426493e-03   7.4344972e-01
   8.8563746e-03   4.7976812e-01
   1.5708419e-02   1.9316292e-01
   2.4471742e-02  -7.6649750e-02
   3.5111757e-02  -3.0889690e-01
   4.7586474e-02  -4.9742235e-01
   6.1846660e-02  -6.4404429e-01
   7.7836037e-02  -7.5374473e-01
   9.5491503e-02  -8.3212712e-01
   1.1474338e-01  -8.8436847e-01
   1.3551569e-01  -9.1492817e-01
   1.5772645e-01  -9.2756870e-01
   1.8128801e-01  -9.2547055e-01
   2.0610737e-01  -9.1135060e-01
   2.3208660e-01  -8.8755480e-01
   2.5912316e-01  -8.5612186e-01
   2.8711035e-01  -8.1882410e-01
   3.1593772e-01  -7.7719328e-01
   3.4549150e-01  -7.3253824e-01
   3.7565506e-01  -6.8595898e-01
   4.0630934e-01  -6.3836027e-01
   4.3733338e-01  -5.9046598e-01
   4.6860474e-01  -5.4283469e-01
   5.0000000e-01  -4.9587614e-01
   5.3139526e-01  -4.4986841e-01
   5.6266662e-01  -4.0497491e-01
   5.9369066e-01  -3.6126104e-01
   6.2434494e-01  -3.1871008e-01
   6.5450850e-01  -2.7723801e-01
   6.8406228e-01  -2.3670718e-01
   7.1288965e-01  -1.9693877e-01
   7.4087684e-01  -1.5772382e-01
   7.6791340e-01  -1.1883285e-01
   7.9389263e-01  -8.0023768e-02
   8.1871199e-01  -4.1047769e-02
   8.4227355e-01  -1.6529731e-03
   8.6448431e-01   3.8414955e-02
   8.8525662e-01   7.9415888e-02
   9.0450850e-01   1.2162324e-01
   9.2216396e-01   1.6533874e-01
   9.3815334e-01   2.1091699e-01
   9.5241353e-01   2.5880507e-01
   9.6488824e-01   3.0960654e-01
   9.7552826e-01   3.6418862e-01
   9.8429158e-01   4.2389932e-01
   9.9114363e-01   4.9131916e-01
   9.9605735e-01   5.7420641e-01
   9.9901336e-01   6.8759423e-01
   1.0000000e+00   7.2154710e-01
